# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_nostructure_texture_near_withloop_validation.bag'
# timestamp tx ty tz qx qy qz qw
1341840197.7685 -4.0858 1.3530 1.0182 -0.5243 0.7851 -0.2743 0.1828
1341840197.7785 -4.0857 1.3529 1.0179 -0.5242 0.7850 -0.2747 0.1832
1341840197.7884 -4.0858 1.3528 1.0178 -0.5241 0.7853 -0.2743 0.1826
1341840197.7985 -4.0857 1.3527 1.0176 -0.5242 0.7853 -0.2744 0.1823
1341840197.8084 -4.0857 1.3527 1.0175 -0.5241 0.7854 -0.2744 0.1820
1341840197.8203 -4.0858 1.3527 1.0174 -0.5240 0.7857 -0.2742 0.1816
1341840197.8284 -4.0857 1.3526 1.0173 -0.5239 0.7857 -0.2742 0.1816
1341840197.8384 -4.0858 1.3526 1.0174 -0.5239 0.7856 -0.2744 0.1818
1341840197.8485 -4.0856 1.3525 1.0173 -0.5235 0.7856 -0.2750 0.1822
1341840197.8584 -4.0856 1.3524 1.0173 -0.5234 0.7855 -0.2751 0.1826
1341840197.8685 -4.0856 1.3524 1.0174 -0.5235 0.7855 -0.2750 0.1826
1341840197.8784 -4.0855 1.3524 1.0173 -0.5231 0.7855 -0.2754 0.1831
1341840197.8884 -4.0856 1.3523 1.0174 -0.5234 0.7855 -0.2749 0.1830
1341840197.8984 -4.0855 1.3522 1.0174 -0.5234 0.7855 -0.2750 0.1831
1341840197.9084 -4.0856 1.3522 1.0175 -0.5234 0.7856 -0.2747 0.1826
1341840197.9184 -4.0855 1.3521 1.0174 -0.5233 0.7855 -0.2753 0.1825
1341840197.9284 -4.0851 1.3520 1.0175 -0.5220 0.7862 -0.2759 0.1828
1341840197.9384 -4.0849 1.3519 1.0175 -0.5220 0.7861 -0.2759 0.1829
1341840197.9484 -4.0850 1.3517 1.0174 -0.5222 0.7861 -0.2758 0.1824
1341840197.9584 -4.0847 1.3523 1.0175 -0.5187 0.7882 -0.2761 0.1827
1341840197.9685 -4.0846 1.3521 1.0177 -0.5185 0.7881 -0.2766 0.1831
1341840197.9785 -4.0852 1.3521 1.0178 -0.5199 0.7878 -0.2754 0.1822
1341840197.9884 -4.0851 1.3520 1.0180 -0.5197 0.7877 -0.2759 0.1826
1341840197.9984 -4.0850 1.3518 1.0181 -0.5196 0.7878 -0.2758 0.1826
1341840198.0084 -4.0851 1.3519 1.0185 -0.5192 0.7882 -0.2755 0.1824
1341840198.0184 -4.0852 1.3511 1.0189 -0.5218 0.7867 -0.2754 0.1817
1341840198.0284 -4.0852 1.3510 1.0189 -0.5213 0.7864 -0.2765 0.1827
1341840198.0385 -4.0846 1.3506 1.0191 -0.5216 0.7862 -0.2764 0.1828
1341840198.0489 -4.0847 1.3505 1.0191 -0.5215 0.7864 -0.2762 0.1825
1341840198.0610 -4.0847 1.3504 1.0190 -0.5213 0.7869 -0.2758 0.1816
1341840198.0684 -4.0844 1.3501 1.0190 -0.5215 0.7868 -0.2757 0.1817
1341840198.0784 -4.0844 1.3500 1.0189 -0.5213 0.7871 -0.2754 0.1814
1341840198.0884 -4.0842 1.3498 1.0190 -0.5213 0.7871 -0.2752 0.1814
1341840198.0984 -4.0843 1.3497 1.0192 -0.5212 0.7874 -0.2749 0.1812
1341840198.1084 -4.0842 1.3495 1.0196 -0.5212 0.7875 -0.2750 0.1807
1341840198.1205 -4.0842 1.3495 1.0198 -0.5205 0.7876 -0.2757 0.1812
1341840198.1284 -4.0841 1.3492 1.0202 -0.5204 0.7872 -0.2767 0.1816
1341840198.1399 -4.0840 1.3493 1.0203 -0.5203 0.7868 -0.2776 0.1824
1341840198.1485 -4.0839 1.3493 1.0205 -0.5201 0.7867 -0.2778 0.1830
1341840198.1584 -4.0838 1.3492 1.0206 -0.5201 0.7865 -0.2782 0.1831
1341840198.1684 -4.0837 1.3493 1.0205 -0.5204 0.7862 -0.2784 0.1830
1341840198.1784 -4.0837 1.3493 1.0203 -0.5208 0.7865 -0.2775 0.1822
